# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "source": "synthetic_clik", "note": "EE circle r=0.08 T=4.0s, tracking err max=0.01mm mean=0.01mm"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z
1.820000,0.19296554,0.35266862,-0.33116749,0.00504532,-0.08998209,-0.01773308,0.00000000,0.349993,-0.076817,0.322318,0.350000,-0.076823,0.322319
1.840000,0.19554484,0.35345933,-0.33841946,0.00516812,-0.09154588,-0.01804075,0.00000000,0.349993,-0.077481,0.319894,0.350000,-0.077487,0.319895
1.860000,0.19797868,0.35420665,-0.34573339,0.00531542,-0.09304598,-0.01833473,0.00000000,0.349993,-0.078067,0.317450,0.350000,-0.078073,0.317451
1.880000,0.20026326,0.35490753,-0.35310231,0.00548716,-0.09447911,-0.01861436,0.00000000,0.349992,-0.078577,0.314990,0.350000,-0.078583,0.314991
1.900000,0.20239481,0.35555901,-0.36051921,0.00568327,-0.09584193,-0.01887900,0.00000000,0.349992,-0.079010,0.312514,0.350000,-0.079015,0.312515
1.920000,0.20436955,0.35615827,-0.36797702,0.00590367,-0.09713100,-0.01912795,0.00000000,0.349992,-0.079364,0.310026,0.350000,-0.079369,0.310027
1.940000,0.20618377,0.35670257,-0.37546862,0.00614822,-0.09834280,-0.01936051,0.00000000,0.349992,-0.079640,0.307528,0.350000,-0.079645,0.307529
1.960000,0.20783377,0.35718932,-0.38298687,0.00641680,-0.09947375,-0.01957598,0.00000000,0.349992,-0.079838,0.305023,0.350000,-0.079842,0.305023
1.980000,0.20931588,0.35761608,-0.39052456,0.00670923,-0.10052019,-0.01977363,0.00000000,0.349991,-0.079957,0.302513,0.350000,-0.079961,0.302513
2.000000,0.21062651,0.35798056,-0.39807447,0.00702533,-0.10147839,-0.01995273,0.00000000,0.349991,-0.079997,0.300000,0.350000,-0.080000,0.300000
2.020000,0.21176209,0.35828064,-0.40562933,0.00736491,-0.10234457,-0.02011253,0.00000000,0.349991,-0.079958,0.297487,0.350000,-0.079961,0.297487
2.040000,0.21271916,0.35851438,-0.41318189,0.00772775,-0.10311490,-0.02025227,0.00000000,0.349991,-0.079840,0.294977,0.350000,-0.079842,0.294977
2.060000,0.21349430,0.35868005,-0.42072483,0.00811364,-0.10378550,-0.02037120,0.00000000,0.349991,-0.079643,0.292471,0.350000,-0.079645,0.292471
2.080000,0.21408421,0.35877614,-0.42825085,0.00852233,-0.10435248,-0.02046853,0.00000000,0.349991,-0.079368,0.289973,0.350000,-0.079369,0.289973
2.100000,0.21448567,0.35880134,-0.43575265,0.00895357,-0.10481190,-0.02054349,0.00000000,0.349991,-0.079014,0.287485,0.350000,-0.079015,0.287485
2.120000,0.21469558,0.35875459,-0.44322291,0.00940712,-0.10515983,-0.02059532,0.00000000,0.349991,-0.078582,0.285010,0.350000,-0.078583,0.285009
2.140000,0.21471096,0.35863510,-0.45065432,0.00988272,-0.10539231,-0.02062323,0.00000000,0.349990,-0.078073,0.282549,0.350000,-0.078073,0.282549
2.160000,0.21452898,0.35844234,-0.45803961,0.01038011,-0.10550545,-0.02062645,0.00000000,0.349990,-0.077487,0.280105,0.350000,-0.077487,0.280105
2.180000,0.21414697,0.35817605,-0.46537151,0.01089903,-0.10549533,-0.02060421,0.00000000,0.349990,-0.076824,0.277681,0.350000,-0.076823,0.277681
2.200000,0.21356241,0.35783626,-0.47264278,0.01143922,-0.10535811,-0.02055575,0.00000000,0.349990,-0.076086,0.275279,0.350000,-0.076085,0.275279
2.220000,0.21277296,0.35742333,-0.47984622,0.01200042,-0.10509001,-0.02048034,0.00000000,0.349990,-0.075272,0.272901,0.350000,-0.075270,0.272901
2.240000,0.21177189,0.35689602,-0.48694464,0.01258084,-0.10468015,-0.02037585,0.00000000,0.350000,-0.074382,0.270550,0.350000,-0.074382,0.270550
2.260000,0.21056522,0.35633913,-0.49399095,0.01318347,-0.10413843,-0.02024417,0.00000000,0.350000,-0.073420,0.268228,0.350000,-0.073420,0.268228
2.280000,0.20914796,0.35571215,-0.50094814,0.01380638,-0.10345503,-0.02008340,0.00000000,0.350000,-0.072386,0.265938,0.350000,-0.072386,0.265938
2.300000,0.20751870,0.35501674,-0.50780925,0.01444932,-0.10262659,-0.01989289,0.00000000,0.350000,-0.071281,0.263681,0.350000,-0.071281,0.263681
2.320000,0.20567629,0.35425490,-0.51456741,0.01511207,-0.10164996,-0.01967200,0.00000000,0.350000,-0.070105,0.261460,0.350000,-0.070105,0.261460
2.340000,0.20361988,0.35342901,-0.52121583,0.01579442,-0.10052214,-0.01942014,0.00000000,0.350000,-0.068859,0.259277,0.350000,-0.068859,0.259277
2.360000,0.20134891,0.35254177,-0.52774782,0.01649614,-0.09924034,-0.01913678,0.00000000,0.350000,-0.067546,0.257134,0.350000,-0.067546,0.257134
2.380000,0.19886316,0.35159625,-0.53415683,0.01721704,-0.09780203,-0.01882141,0.00000000,0.350000,-0.066166,0.255033,0.350000,-0.066166,0.255033
2.400000,0.19616273,0.35059587,-0.54043638,0.01795692,-0.09620492,-0.01847359,0.00000000,0.350000,-0.064721,0.252977,0.350000,-0.064721,0.252977
2.420000,0.19324811,0.34954439,-0.54658018,0.01871558,-0.09444703,-0.01809291,0.00000000,0.350000,-0.063212,0.250967,0.350000,-0.063212,0.250967
2.440000,0.19012013,0.34844593,-0.55258204,0.01949285,-0.09252666,-0.01767906,0.00000000,0.350000,-0.061641,0.249006,0.350000,-0.061641,0.249006
2.460000,0.18678004,0.34730490,-0.55843594,0.02028854,-0.09044248,-0.01723177,0.00000000,0.350000,-0.060009,0.247095,0.350000,-0.060009,0.247095
2.480000,0.18322949,0.34612606,-0.56413602,0.02110245,-0.08819350,-0.01675085,0.00000000,0.350000,-0.058317,0.245236,0.350000,-0.058317,0.245236
2.500000,0.17947053,0.34491445,-0.56967658,0.02193441,-0.08577913,-0.01623618,0.00000000,0.350000,-0.056569,0.243431,0.350000,-0.056569,0.243431
2.520000,0.17550568,0.34367541,-0.57505211,0.02278422,-0.08319919,-0.01568775,0.00000000,0.350000,-0.054764,0.241683,0.350000,-0.054764,0.241683
2.540000,0.17133787,0.34241451,-0.58025728,0.02365167,-0.08045394,-0.01510560,0.00000000,0.350000,-0.052905,0.239991,0.350000,-0.052905,0.239991
2.560000,0.16697052,0.34113757,-0.58528696,0.02453656,-0.07754410,-0.01448989,0.00000000,0.350000,-0.050994,0.238359,0.350000,-0.050994,0.238359
2.580000,0.16240750,0.33985061,-0.59013621,0.02543864,-0.07447085,-0.01384087,0.00000000,0.350000,-0.049033,0.236788,0.350000,-0.049033,0.236788
2.600000,0.15765313,0.33855983,-0.59480031,0.02635767,-0.07123588,-0.01315888,0.00000000,0.350000,-0.047023,0.235279,0.350000,-0.047023,0.235279
2.620000,0.15271225,0.33727156,-0.59927474,0.02729337,-0.06784140,-0.01244436,0.00000000,0.350000,-0.044967,0.233834,0.350000,-0.044967,0.233834
2.640000,0.14759014,0.33599222,-0.60355520,0.02824544,-0.06429013,-0.01169788,0.00000000,0.350000,-0.042866,0.232454,0.350000,-0.042866,0.232454
2.660000,0.14229258,0.33472831,-0.60763761,0.02921353,-0.06058533,-0.01092010,0.00000000,0.350000,-0.040723,0.231141,0.350000,-0.040723,0.231141
2.680000,0.13682581,0.33348635,-0.61151811,0.03019727,-0.05673081,-0.01011178,0.00000000,0.350000,-0.038540,0.229895,0.350000,-0.038540,0.229895
